"store_id","state_id","city_name","store_name","store_website","street_address","postal_code","country_id","telephone","lat","lng"
32,"CA","Pasadena","Trader Joe's Pasadena (East) (32)","https://locations.traderjoes.com/ca/pasadena/32","3035 E Huntington Dr","91107","US","+1 626-356-2963","34.127730","-118.089600"
33,"CA","Westchester","Trader Joe's Westchester (33)","https://locations.traderjoes.com/ca/westchester/33","8645 S Sepulveda","90045","US","+1 310-338-9238","33.958620","-118.396660"
34,"CA","Manhattan Beach","Trader Joe's Manhattan Beach Blvd (34)","https://locations.traderjoes.com/ca/manhattan-beach/34","1821 Manhattan Beach Blvd","90266","US","+1 310-372-1274","33.887540","-118.379670"
35,"CA","Costa Mesa","Trader Joe's Costa Mesa (35)","https://locations.traderjoes.com/ca/costa-mesa/35","640 W 17th St","92627","US","+1 949-642-5134","33.636680","-117.924940"
36,"CA","Culver City","Trader Joe's Culver City (36)","https://locations.traderjoes.com/ca/culver-city/36","9290 Culver Blvd","90232","US","+1 310-202-1108","34.025270","-118.393000"
37,"CA","Irvine","Trader Joe's Irvine -  Walnut Village Ctr (37)","https://locations.traderjoes.com/ca/irvine/37","14443 Culver Dr","92604","US","+1 949-857-8108","33.706230","-117.788280"
38,"CA","Redondo Bch.","Trader Joe's Redondo Beach (38)","https://locations.traderjoes.com/ca/redondo-bch-/38","1761 S Elena Ave","90277","US","+1 310-316-1745","33.818020","-118.385570"
39,"CA","Laguna Hills","Trader Joe's Laguna Hills (39)","https://locations.traderjoes.com/ca/laguna-hills/39","24231 Avenida De La Carlota","92653","US","+1 949-461-0927","33.609700","-117.703040"
40,"CA","West Hollywood","Trader Joe's West Hollywood (40)","https://locations.traderjoes.com/ca/west-hollywood/40","7310 Santa Monica Blvd","90046","US","+1 323-969-8048","34.090020","-118.349250"
41,"CA","San Luis Obispo","Trader Joe's San Luis Obispo (41)","https://locations.traderjoes.com/ca/san-luis-obispo/41","3977 Higuera Street","93401","US","+1 805-783-2780","35.245070","-120.673440"
42,"CA","La Canada","Trader Joe's La Canada (42)","https://locations.traderjoes.com/ca/la-canada/42","475 Foothill Blvd","91011","US","+1 818-790-6373","34.200550","-118.188950"
43,"CA","Long Beach","Trader Joe's Long Beach - PCH (43)","https://locations.traderjoes.com/ca/long-beach/43","6451 E Pacific Coast  Hwy","90803","US","+1 562-596-4388","33.756840","-118.108450"
44,"CA","Granada Hills","Trader Joe's Granada Hills (44)","https://locations.traderjoes.com/ca/granada-hills/44","11114 Balboa Blvd","91344","US","+1 818-368-6461","34.272680","-118.501680"
45,"CA","Ventura","Trader Joe's Ventura (45)","https://locations.traderjoes.com/ca/ventura/45","1795 S. Victoria Ave","93003","US","+1 805-650-9977","34.257330","-119.211170"
46,"CA","Orange","Trader Joe's Mall of Orange (46)","https://locations.traderjoes.com/ca/orange/46","2114 N Tustin St","92865","US","+1 714-283-5697","33.823210","-117.836450"
47,"CA","Huntington Beach","Trader Joe's Huntington Beach (47)","https://locations.traderjoes.com/ca/huntington-beach/47","18681 Main St","92648","US","+1 714-848-9640","33.692660","-117.992660"
48,"CA","Whittier","Trader Joe's Whittier (48)","https://locations.traderjoes.com/ca/whittier/48","15025 E Whittier Blvd","90603","US","+1 562-698-1642","33.949180","-118.005580"
49,"CA","Sherman Oaks","Trader Joe's Sherman Oaks (49)","https://locations.traderjoes.com/ca/sherman-oaks/49","14119 Riverside Dr","91423","US","+1 818-789-2771","34.157770","-118.440600"
50,"CA","West Hills","Trader Joe's West Hills (50)","https://locations.traderjoes.com/ca/west-hills/50","6751 Fallbrook Ave","91307","US","+1 818-347-2591","34.192590","-118.624080"
51,"CA","Pasadena","Trader Joe's Pasadena (51)","https://locations.traderjoes.com/ca/pasadena/51","610 S Arroyo Pkwy","91105","US","+1 626-568-9254","34.135170","-118.146910"
52,"CA","Montrose","Trader Joe's Montrose (52)","https://locations.traderjoes.com/ca/montrose/52","2462 Honolulu Ave","91020","US","+1 818-957-3613","34.206870","-118.232910"
53,"CA","Glendale","Trader Joe's Glendale (53)","https://locations.traderjoes.com/ca/glendale/53","103 E Glenoaks Blvd","91207","US","+1 818-507-8192","34.159810","-118.254710"
54,"CA","Toluca Lake","Trader Joe's Toluca Lake (54)","https://locations.traderjoes.com/ca/toluca-lake/54","10130 Riverside Dr","91602","US","+1 818-762-2787","34.151960","-118.351810"
55,"CA","Eagle Rock","Trader Joe's Eagle Rock (55)","https://locations.traderjoes.com/ca/eagle-rock/55","1566 Colorado Blvd","90041","US","+1 323-257-6422","34.139320","-118.200350"
56,"CA","Encino","Trader Joe's Encino (56)","https://locations.traderjoes.com/ca/encino/56","17640 Burbank Blvd","91316","US","+1 818-990-7751","34.171880","-118.517640"
57,"CA","Rancho Palos Verdes","Trader Joe's Rancho Palos Verdes - S. Western Ave. (57)","https://locations.traderjoes.com/ca/rancho-palos-verdes/57","28901 S Western Ave","90275","US","+1 310-832-1241","33.755840","-118.310270"
58,"CA","Westlake Village","Trader Joe's Westlake Village (58)","https://locations.traderjoes.com/ca/westlake-village/58","3835 E Thousand Oaks Blvd","91362","US","+1 805-494-5040","34.163910","-118.825080"
59,"CA","Santa Barbara","Trader Joe's Santa Barbara (59)","https://locations.traderjoes.com/ca/santa-barbara/59","222 North Milpas Street","93103","US","+1 805-560-1182","34.424670","-119.681810"
60,"CA","Concord","Trader Joe's Concord (60)","https://locations.traderjoes.com/ca/concord/60","1150 Concord Ave","94520","US","+1 925-689-2990","37.978380","-122.057530"
61,"CA","San Rafael","Trader Joe's San Rafael (61)","https://locations.traderjoes.com/ca/san-rafael/61","337 3rd St","94901","US","+1 415-454-9530","37.969610","-122.516380"
62,"CA","San Jose","Trader Joe's San Jose - Westgate West (62)","https://locations.traderjoes.com/ca/san-jose/62","5269 Prospect","95129","US","+1 408-446-5055","37.292920","-121.994230"
63,"CA","San Jose","Trader Joe's San Jose - Old Almaden (63)","https://locations.traderjoes.com/ca/san-jose/63","5353 Almaden Expressway #J-38","95118","US","+1 408-264-8120","37.251220","-121.878980"
64,"CA","Capitola","Trader Joe's Capitola (64)","https://locations.traderjoes.com/ca/capitola/64","3555 Clares St","95010","US","+1 831-464-0115","36.977440","-121.970580"
65,"CA","Danville","Trader Joe's Danville (65)","https://locations.traderjoes.com/ca/danville/65","85 Railroad Ave","94526","US","+1 925-838-5757","37.823100","-122.003250"
66,"CA","Pleasanton","Trader Joe's Pleasanton (66)","https://locations.traderjoes.com/ca/pleasanton/66","3903 Santa Rita Road","94588","US","+1 925-468-0763","37.696800","-121.876800"
67,"CA","San Mateo","Trader Joe's San Mateo - Grant St (67)","https://locations.traderjoes.com/ca/san-mateo/67","1820-22 S Grant Street","94402","US","+1 650-570-6140","37.554530","-122.302580"
68,"CA","Sunnyvale","Trader Joe's Sunnyvale (68)","https://locations.traderjoes.com/ca/sunnyvale/68","316 West El Camino Real","94087","US","+1 408-736-7573","37.368160","-122.036100"
69,"CA","Menlo Park","Trader Joe's Menlo Park (69)","https://locations.traderjoes.com/ca/menlo-park/69","720 Menlo Ave","94025","US","+1 650-323-2134","37.451370","-122.183430"
70,"CA","Sacramento","Trader Joe's Sacramento (70)","https://locations.traderjoes.com/ca/sacramento/70","2625 Marconi Ave","95821","US","+1 916-481-8797","38.618440","-121.400070"
71,"CA","Fair Oaks","Trader Joe's Fair Oaks (71)","https://locations.traderjoes.com/ca/fair-oaks/71","5309 Sunrise Blvd","95628","US","+1 916-863-1744","38.662800","-121.273880"
72,"CA","Emeryville","Trader Joe's Emeryville (72)","https://locations.traderjoes.com/ca/emeryville/72","5700 Christie Ave","94608","US","+1 510-658-8091","37.837070","-122.294360"
73,"CA","Campbell","Trader Joe's Campbell (73)","https://locations.traderjoes.com/ca/campbell/73","1875 Bascom Ave","95008","US","+1 408-369-7823","37.289550","-121.933560"
74,"CA","Daly City","Trader Joe's Daly City (74)","https://locations.traderjoes.com/ca/daly-city/74","417 Westlake Center","94015","US","+1 650-755-3825","37.700240","-122.482670"
75,"CA","Santa Rosa","Trader Joe's Santa Rosa - Cleveland Ave (75)","https://locations.traderjoes.com/ca/santa-rosa/75","3225 Cleveland Ave","95403","US","+1 707-525-1406","38.473590","-122.732170"
76,"CA","Stockton","Trader Joe's Stockton (76)","https://locations.traderjoes.com/ca/stockton/76","6535 Pacific Ave","95207","US","+1 209-951-7597","38.009080","-121.321250"
77,"CA","Fremont","Trader Joe's Fremont (77)","https://locations.traderjoes.com/ca/fremont/77","39324 Argonaut Way","94538","US","+1 510-794-1386","37.543550","-121.986110"
78,"CA","San Francisco","Trader Joe's San Francisco - 9th St (78)","https://locations.traderjoes.com/ca/san-francisco/78","555 9th St","94103","US","+1 415-863-1292","37.771020","-122.407310"
79,"CA","Pacific Grove","Trader Joe's Pacific Grove (79)","https://locations.traderjoes.com/ca/pacific-grove/79","1170 Forest Ave","93950","US","+1 831-656-0180","36.605550","-121.921800"
80,"CA","Roseville","Trader Joe's Roseville (80)","https://locations.traderjoes.com/ca/roseville/80","1117 Roseville Square","95678","US","+1 916-784-9084","38.746160","-121.273620"
81,"CA","Mountain View","Trader Joe's Mountain View (81)","https://locations.traderjoes.com/ca/mountain-view/81","590 Showers Dr","94040","US","+1 650-917-1013","37.401500","-122.107910"
82,"NV","Reno","Trader Joe's Reno (82)","https://locations.traderjoes.com/nv/reno/82","5035 S McCarran Blvd","89502","US","+1 775-826-1621","39.478740","-119.784130"
83,"CA","Concord","Trader Joe's Concord (83)","https://locations.traderjoes.com/ca/concord/83","785 Oak Grove Rd","94518","US","+1 925-521-1134","37.936830","-122.024740"
84,"CA","Castro Valley","Trader Joe's Castro Valley (84)","https://locations.traderjoes.com/ca/castro-valley/84","22224 Redwood Road","94546","US","+1 510-538-2738","37.684970","-122.073250"
85,"AZ","Glendale","Trader Joe's Glendale (85)","https://locations.traderjoes.com/az/glendale/85","8078 W Bell Rd","85308","US","+1 928-397-9921","33.640140","-112.231080"
86,"NV","Las Vegas","Trader Joe's Las Vegas - Summerlin (86)","https://locations.traderjoes.com/nv/las-vegas/86","7575 W Washington","89128","US","+1 702-242-8240","36.180710","-115.258150"
87,"AZ","Scottsdale","Trader Joe's N Scottsdale (87)","https://locations.traderjoes.com/az/scottsdale/87","7555 E Frank Lloyd Wright","85260","US","+1 480-367-8920","33.635960","-111.917170"
88,"AZ","Tucson","Trader Joe's Tucson - Crossroads (88)","https://locations.traderjoes.com/az/tucson/88","4766 E Grant Rd","85712","US","+1 520-323-4500","32.249800","-110.890970"
89,"AZ","Mesa","Trader Joe's Mesa (89)","https://locations.traderjoes.com/az/mesa/89","2050 E Baseline Rd","85204","US","+1 480-632-0951","33.380990","-111.787040"
90,"AZ","Phoenix","Trader Joe's Phoenix - Town & Country (90)","https://locations.traderjoes.com/az/phoenix/90","4821 N 20th St","85016","US","+1 602-912-9022","33.507180","-112.037860"
91,"AZ","Tempe","Trader Joe's ASU (91)","https://locations.traderjoes.com/az/tempe/91","940 E. University Drive","85281","US","+1 480-303-9974","33.422580","-111.924870"
92,"AZ","Surprise","Trader Joe's Surprise (92)","https://locations.traderjoes.com/az/surprise/92","14095 W Grand Ave","85374","US","+1 623-546-1640","33.651360","-112.367400"
93,"AZ","Tempe","Trader Joe's Tempe (93)","https://locations.traderjoes.com/az/tempe/93","6460 S McClintock Dr","85283","US","+1 480-838-4142","33.361740","-111.911370"
94,"AZ","Scottsdale","Trader Joe's Scottsdale (94)","https://locations.traderjoes.com/az/scottsdale/94","6202 N Scottsdale Rd","85253","US","+1 480-948-9886","33.529000","-111.927480"
95,"AZ","Tucson","Trader Joe's Tucson (95)","https://locations.traderjoes.com/az/tucson/95","1101 N Wilmot Rd","85712","US","+1 520-733-1313","32.237070","-110.858740"
96,"AZ","Oro Valley","Trader Joe's Oro Valley (96)","https://locations.traderjoes.com/az/oro-valley/96","7912 N Oracle","85704","US","+1 520-797-4207","32.350490","-110.973230"
97,"NV","Henderson","Trader Joe's Henderson (97)","https://locations.traderjoes.com/nv/henderson/97","2716 N Green Valley Pkwy","89014","US","+1 702-433-6773","36.069770","-115.081180"
98,"NV","Las Vegas","Trader Joe's Las Vegas - Centennial Hills (98)","https://locations.traderjoes.com/nv/las-vegas/98","5639 Centennial Ctr Blvd","89149","US","+1 702-396-3372","36.263760","-115.256900"
99,"CA","Redlands","Trader Joe's Redlands (99)","https://locations.traderjoes.com/ca/redlands/99","552 Orange St","92374","US","+1 909-798-3888","34.060620","-117.181170"
100,"CA","San Francisco","Trader Joe's San Francisco (100)","https://locations.traderjoes.com/ca/san-francisco/100","3 Masonic Ave","94118","US","+1 415-346-9964","37.783360","-122.447750"
101,"CA","Fairfield","Trader Joe's Fairfield (101)","https://locations.traderjoes.com/ca/fairfield/101","1350 Gateway Blvd","94533","US","+1 707-434-0144","38.264030","-122.052730"
102,"CA","Temecula","Trader Joe's Temecula (102)","https://locations.traderjoes.com/ca/temecula/102","40665 Winchester Rd","92591","US","+1 951-296-9964","33.528970","-117.156030"
103,"CA","Laguna Niguel","Trader Joe's Laguna Niguel - Ocean Ranch (103)","https://locations.traderjoes.com/ca/laguna-niguel/103","32351 Street of the Golden Lantern","92677","US","+1 949-493-8599","33.493020","-117.696610"
104,"CA","Cerritos","Trader Joe's Cerritos (104)","https://locations.traderjoes.com/ca/cerritos/104","12861 Towne Center Dr","90703","US","+1 562-402-5148","33.869380","-118.058300"
105,"CA","Escondido","Trader Joe's Escondido (105)","https://locations.traderjoes.com/ca/escondido/105","1885 S Centre City Pkwy","92025","US","+1 760-233-4020","33.100030","-117.074450"
106,"CA","Manhattan Beach","Trader Joe's Manhattan Beach - Rosecrans Blvd (106)","https://locations.traderjoes.com/ca/manhattan-beach/106","1800 Rosecrans Blvd","90266","US","+1 310-725-9800","33.900480","-118.380180"
107,"CA","Petaluma","Trader Joe's Petaluma (107)","https://locations.traderjoes.com/ca/petaluma/107","169 N McDowell Blvd","94954","US","+1 707-769-2782","38.248840","-122.629390"
108,"CA","El Cerrito","Trader Joe's El Cerrito (108)","https://locations.traderjoes.com/ca/el-cerrito/108","225 El Cerrito Plaza","94530","US","+1 510-524-7609","37.898850","-122.299550"
109,"CA","Alameda","Trader Joe's Alameda (109)","https://locations.traderjoes.com/ca/alameda/109","2217 South Shore Ctr","94501","US","+1 510-769-5450","37.757660","-122.251430"
110,"CA","Goleta","Trader Joe's Goleta (110)","https://locations.traderjoes.com/ca/goleta/110","5767 Calle Real","93117","US","+1 805-692-2234","34.441200","-119.824730"
111,"CA","Irvine","Trader Joe's Irvine - University Ctr (111)","https://locations.traderjoes.com/ca/irvine/111","4225 Campus Dr","92612","US","+1 949-509-6138","33.650330","-117.837770"
112,"CA","Monrovia","Trader Joe's Monrovia (112)","https://locations.traderjoes.com/ca/monrovia/112","604 W Huntington Dr","91016","US","+1 626-358-8884","34.137650","-118.012230"
113,"CA","Santa Ana","Trader Joe's Santa Ana (113)","https://locations.traderjoes.com/ca/santa-ana/113","3329 S Bristol St","92704","US","+1 714-424-9304","33.700960","-117.884810"
114,"CA","Camarillo","Trader Joe's Camarillo (114)","https://locations.traderjoes.com/ca/camarillo/114","363 Carmen Dr","93010","US","+1 805-388-1925","34.220110","-119.052900"
115,"CA","Lafayette","Trader Joe's Lafayette (115)","https://locations.traderjoes.com/ca/lafayette/115","3649 Mt Diablo Blvd","94549","US","+1 925-299-9344","37.890370","-122.127080"
116,"CA","Long Beach","Trader Joe's Long Beach - Bixby Knolls (116)","https://locations.traderjoes.com/ca/long-beach/116","4210 Long Beach Blvd","90807","US","+1 562-422-1020","33.835480","-118.188580"
117,"CA","Arroyo Grande","Trader Joe's Arroyo Grande (117)","https://locations.traderjoes.com/ca/arroyo-grande/117","955 Rancho Pkwy","93420","US","+1 805-474-6114","35.126250","-120.595070"
118,"CA","Cathedral City","Trader Joe's Cathedral City (118)","https://locations.traderjoes.com/ca/cathedral-city/118","67720 E Palm Canyon Dr","92234","US","+1 760-202-0090","33.789790","-116.482740"
119,"CA","Los Angeles","Trader Joe's West Los Angeles - Sepulveda (119)","https://locations.traderjoes.com/ca/los-angeles/119","3456 S Sepulveda Blvd","90034","US","+1 310-836-2458","34.020250","-118.422220"
120,"CA","Chula Vista","Trader Joe's Chula Vista (120)","https://locations.traderjoes.com/ca/chula-vista/120","878 Eastlake Pkwy","91914","US","+1 619-656-5370","32.651300","-116.970400"
121,"CA","Torrance","Trader Joe's Torrance - Hawthorne Blvd (121)","https://locations.traderjoes.com/ca/torrance/121","19720 Hawthorne Blvd","90503","US","+1 310-793-8585","33.852210","-118.353190"
122,"CA","Studio City","Trader Joe's Studio City (122)","https://locations.traderjoes.com/ca/studio-city/122","11976 Ventura Blvd","91604","US","+1 818-509-0168","34.143040","-118.392690"
123,"CA","Walnut Creek","Trader Joe's Walnut Creek (123)","https://locations.traderjoes.com/ca/walnut-creek/123","1372 S California Blvd","94596","US","+1 925-945-1674","37.893270","-122.060700"
124,"CA","Burbank","Trader Joe's Burbank (124)","https://locations.traderjoes.com/ca/burbank/124","214 E Alameda Ave","91502","US","+1 818-848-4299","34.174840","-118.299220"
125,"CA","Newport Beach","Trader Joe's Newport Beach (125)","https://locations.traderjoes.com/ca/newport-beach/125","8086 E Pacific Coast Hwy","92657","US","+1 949-494-7404","33.568700","-117.830660"
126,"CA","Mission Viejo","Trader Joe's Mission Viejo (126)","https://locations.traderjoes.com/ca/mission-viejo/126","25410 Marguerite Pkwy","92692","US","+1 949-581-5638","33.592760","-117.658510"
127,"CA","Los Altos","Trader Joe's Los Altos (127)","https://locations.traderjoes.com/ca/los-altos/127","2310 Homestead Rd","94024","US","+1 408-245-1917","37.337600","-122.067800"
128,"CA","Napa","Trader Joe's Napa (128)","https://locations.traderjoes.com/ca/napa/128","3654 Bel Aire Plaza","94558","US","+1 707-256-0806","38.322670","-122.305850"
129,"WA","Lynnwood","Trader Joe's Lynnwood (129)","https://locations.traderjoes.com/wa/lynnwood/129","19715 Highway 99","98036","US","+1 425-670-0623","47.819850","-122.314240"
130,"WA","Seattle","Trader Joe's Seattle - Capitol Hill (130)","https://locations.traderjoes.com/wa/seattle/130","1700 Madison St","98122","US","+1 206-322-7268","47.616010","-122.309310"
131,"WA","Bellevue","Trader Joe's Bellevue (131)","https://locations.traderjoes.com/wa/bellevue/131","15563 NE 24th St","98007","US","+1 425-641-5069","47.630780","-122.133290"
132,"WA","Kirkland","Trader Joe's Kirkland (132)","https://locations.traderjoes.com/wa/kirkland/132","12520 Totem Lake Blvd NE","98034","US","+1 425-814-9181","47.711980","-122.180470"
133,"WA","Burien","Trader Joe's Burien (133)","https://locations.traderjoes.com/wa/burien/133","15868 1st Ave S","98148","US","+1 206-901-9339","47.460120","-122.331520"
134,"WA","Federal Way","Trader Joe's Federal Way (134)","https://locations.traderjoes.com/wa/federal-way/134","1758 S 320th St","98003","US","+1 253-941-6138","47.316880","-122.310810"
135,"WA","Seattle","Trader Joe's Seattle - Queen Anne Hill (135)","https://locations.traderjoes.com/wa/seattle/135","1916 Queen Anne Ave N","98109","US","+1 206-284-2546","47.636420","-122.356680"
136,"WA","Vancouver","Trader Joe's Vancouver (136)","https://locations.traderjoes.com/wa/vancouver/136","305 SE Chkalov Dr","98683","US","+1 360-883-9000","45.619570","-122.554350"
137,"WA","Seattle","Trader Joe's Seattle - U District (137)","https://locations.traderjoes.com/wa/seattle/137","4555 Roosevelt Way NE","98105","US","+1 206-547-6299","47.662720","-122.317980"
138,"WA","Issaquah","Trader Joe's Issaquah (138)","https://locations.traderjoes.com/wa/issaquah/138","975 NW Gilman Blvd","98027","US","+1 425-557-6420","47.544100","-122.052220"
139,"WA","Everett","Trader Joe's Everett (139)","https://locations.traderjoes.com/wa/everett/139","1302 SE Everett Mall Way","98208","US","+1 425-464-5485","47.909980","-122.215500"
140,"WA","Redmond","Trader Joe's Redmond (140)","https://locations.traderjoes.com/wa/redmond/140","15932 Redmond Way","98052","US","+1 425-883-1624","47.675740","-122.127750"
141,"OR","Beaverton","Trader Joe's Beaverton (141)","https://locations.traderjoes.com/or/beaverton/141","11753 SW Beaverton Hillsdale Hwy","97005","US","+1 503-626-3794","45.488060","-122.797770"
142,"OR","Lake Oswego","Trader Joe's Lake Oswego (142)","https://locations.traderjoes.com/or/lake-oswego/142","15391 SW Bangy Rd","97035","US","+1 503-639-3238","45.413720","-122.743210"
143,"OR","Portland","Trader Joe's Portland SE (143)","https://locations.traderjoes.com/or/portland/143","4715 SE Cesar Chavez Blvd","97202","US","+1 503-777-1601","45.488790","-122.623590"
144,"OR","Portland","Trader Joe's Portland - Hollywood (144)","https://locations.traderjoes.com/or/portland/144","4121 NE Halsey St","97232","US","+1 503-284-4232","45.534680","-122.620810"
145,"OR","Eugene","Trader Joe's Eugene (145)","https://locations.traderjoes.com/or/eugene/145","85 Oakway Center","97401","US","+1 541-485-1744","44.065290","-123.075510"
146,"OR","Portland","Trader Joe's Portland NW (146)","https://locations.traderjoes.com/or/portland/146","2122 NW Glisan St","97210","US","+1 971-544-0788","45.526080","-122.694990"
147,"WA","Seattle","Trader Joe's Ballard (147)","https://locations.traderjoes.com/wa/seattle/147","4609 14th Ave NW","98107","US","+1 206-783-0498","47.662610","-122.374200"
148,"WA","University Place","Trader Joe's University Place (148)","https://locations.traderjoes.com/wa/university-place/148","3800 Bridgeport Way W","98466","US","+1 253-460-2672","47.222580","-122.539240"
149,"OR","Hillsboro","Trader Joe's Hillsboro (149)","https://locations.traderjoes.com/or/hillsboro/149","2285 NW 185th Ave","97124","US","+1 503-645-8321","45.536790","-122.869510"
150,"OR","Bend","Trader Joe's Bend (150)","https://locations.traderjoes.com/or/bend/150","63455 N Hwy 97","97701","US","+1 541-312-4198","44.105080","-121.296150"
151,"WA","Bellingham","Trader Joe's Bellingham (151)","https://locations.traderjoes.com/wa/bellingham/151","2410 James St","98225","US","+1 360-734-5166","48.762150","-122.463990"
152,"OR","Clackamas","Trader Joe's Clackamas (152)","https://locations.traderjoes.com/or/clackamas/152","9345 SE 82nd Ave","97086","US","+1 503-771-6300","45.455960","-122.580580"
153,"OR","Salem","Trader Joe's Salem (153)","https://locations.traderjoes.com/or/salem/153","4450 Commercial St SE","97302","US","+1 503-378-9042","44.889710","-123.032770"
154,"OR","Corvallis","Trader Joe's Corvallis (154)","https://locations.traderjoes.com/or/corvallis/154","1550 NW 9th St","97330","US","+1 541-753-0048","44.582490","-123.260020"
155,"OR","Medford","Trader Joe's Medford (155)","https://locations.traderjoes.com/or/medford/155","55 Rossanley Dr","97501","US","+1 541-608-4993","42.343520","-122.881610"
156,"WA","Olympia","Trader Joe's Olympia (156)","https://locations.traderjoes.com/wa/olympia/156","1530 Black Lake Blvd SW","98502","US","+1 360-352-7440","47.033260","-122.937670"
